Domain_Name,Organization_Name
rjdgftldh.nic.in,"Joint Director General of Foreign Trade, Ludhiana"
rjit.org,Rustamji Institute of Technology (RJIT)
rkvy.nic.in,Rashtriya Krishi Vikas Yojana (RKVY)
rlbcau.ac.in,Rani Lakshmi Bai Central Agricultural University
rlcraipur.gov.in,"Regional Labour Commissioner (Central) Raipur, Chhattisgarh"
rlda.in,"Rail Land Development Authority, New Delhi"
rltrird.cg.gov.in,"Regional Leprosy Training and Research Institute and Regional Office of Health and Family Welfare, Raipur, Chhattisgarh"
rmcchennaieatlas.tn.nic.in,"Cyclone eAtlas – IMD, Tracks of Cyclones and Depressions over North Indian Ocean, Chennai"
rmk.nic.in,Rashtriya Mahila Kosh (RMK)
rmrcbbsr.gov.in,"Regional Medical Research Centre (RMRC), Bhubaneswar, Odisha"
rmsa.cg.gov.in,"Rashtriya Madhyamik Shiksha Abhiyan (RSMA), Chhattisgarh"
rni.nic.in,Registrar of Newspapers for India (RNI)
rniefiling.gov.in,"e - Filing Services, Registrar of Newspaper for India"
rodra.gov.in,Retired Officers Digital Records Archive - Veteran Officers and Family Pensioners of Indian Army
rojgarsamachar.gov.in,"Rozgar Samachar, Vacancy in Government Sector"
rplkerala.com,Rehabilitation Plantations Limited (RPL)
rpo.gov.in,National Portal for Renewable purchase obligation (RPO)
rrbahmedabad.gov.in,"Railway Recruitment Board (RRB), Ahmedabad"
rrbajmer.gov.in,"Railway Recruitment Board (RRB), Ajmer"
rrbald.gov.in,"Railway Recruitment Board (RRB), Allahabad"
rrbbbs.gov.in,"Railway Recruitment Board (RRB), Bhubaneswar"
rrbbhopal.gov.in,"Railway Recruitment Board (RRB), Bhopal"
rrbbilaspur.gov.in,"Railway Recruitment Board (RRB), Bilaspur, Chhattisgarh"
rrbbnc.gov.in,"Railway Recruitment Board (RRB), Bangalore  "
rrbcdg.gov.in,"Railway Recruitment Board (RRB), Chandigarh"
rrbchennai.gov.in,"Railway Recruitment Board (RRB), Chennai"
rrbgkp.gov.in,"Railway Recruitment Board (RRB), Gorakhpur"
rrbguwahati.gov.in,"Railway Recruitment Board (RRB), Guwahati"
rrbjammu.nic.in,"Railway Recruitment Board (RRB), Jammu-Srinagar"
rrbkolkata.gov.in,"Railway Recruitment Board (RRB), Kolkata"
rrbmalda.gov.in,"Railway Recruitment Board (RRB), Malda"
rrbmumbai.gov.in,"Railway Recruitment Board (RRB), Mumbai"
rrbmuzaffarpur.gov.in,"Railway Recruitment Board (RRB), Muzaffarpur"
rrbpatna.gov.in,"Railway Recruitment Board (RRB), Patna"
rrbranchi.gov.in,"Railway Recruitment Board (RRB), Ranchi"
rrbsecunderabad.nic.in,"Railway Recruitment Board (RRB), Secunderabad"
rrbsiliguri.org,"Railway Recruitment Board (RRB), Siliguri"
rrbthiruvananthapuram.gov.in,"Railway Recruitment Board (RRB), Thiruvananthapuram"
rrcat.gov.in,"Raja Ramanna Centre for Advanced Technology (RRCAT), Indore"
rrcb.gov.in,Railway Recruitment Control Board (RRCB)
rrcbbs.org.in,"Railway Recruitment Cell, East Coast Railway, Bhubaneswar"
rrccr.gov.in,"Railway Recruitment Cell (RRC), Central Railway, Mumbai"
rrcecr.bih.nic.in,"Railway Recruitment Cell (RRC), Hajipur"
rrcer.com,"Railway Recruitment Cell (RRC), Eastern Railway, Kolkata"
rrcnes.gov.in,"Regional Resource Centre for North Eastern States,  Guwahati, Assam"
rrfams.nic.in,"Recruitment Rules Formulation, Amendment and Monitoring System, Department of Personnel and Training"
rri.res.in,"Raman Research Institute, Bangalore, Karnataka"
rria.nic.in,"National Research Institute of Basic Ayurvedic Sciences (NRIBAS), Pune"
rrrlf.gov.in,Raja Rammohun Roy Library Foundation (RRRLF)
rrtd.nic.in,Research Reference and Training Division (RRTD)
rsby.gov.in,Rashtriya Swasthya Bima Yojana (RSBY)
rscbhopal.gov.in,"Regional Science Center, Bhopal"
rscnagpur.gov.in,"Raman Science Centre and Planetarium, Nagpur"
rsmcnewdelhi.imd.gov.in,Regional Specialized Meteorological Centre (RSMC) for Tropical Cyclones over North Indian Ocean
rstv.nic.in,Rajya Sabha Television (RSTV)
rtcbangalore.cag.gov.in,"Regional Training Center, Bangalore"
rtcer.gov.in,"MSME - Testing Centre, Kolkata"
rtcnewdelhi.cag.gov.in,"Regional Training Center, New Delhi"
rti.gov.in,"Right to Information Act (RTI), India"
rti.railnet.gov.in,Indian Railways Right to Information (RTI) Monitoring System
rtiallahabad.cag.gov.in,"Regional Training Insititute, Allahabad"
rtichennai.cag.gov.in,"Regional Training Insititute, Chennai"
rtijaipur.cag.gov.in,"Regional Training Insititute, Jaipur"
rtijammu.cag.gov.in,"Regional Training Insititute, Jammu"
rtikolkata.cag.gov.in,"Regional Training Insititute, Kolkata"
rtimumbai.cag.gov.in,"Regional Training Insititute, Mumbai"
rtinagpur.cag.gov.in,"Regional Training Insititute, Nagpur"
rtionline.gov.in,RTI Online - RTI applications/First Appeals to Central Government Organisations
rtiranchi.cag.gov.in,"Regional Training Insititute, Ranchi"
rtishillong.cag.gov.in,"Regional Training Insititute, Shillong"
rttcam.bsnl.co.in,"Regional Telecom Training centre (RTTC), Ahmedabad, Gujarat"
rttchyd.bsnl.co.in,"Regional Telecom Training Centre (RTTC), Hydrebad"
rttcmysore.bsnl.co.in,"Regional Telecom Training Centre (RTTC), Mysore"
rttcnagpur.bsnl.co.in,"Regional Telecom Training Center (RTTC), Nagpur, Maharashtra"
rttctvm.bsnl.co.in,"Regional Telecom Training centre (RTTC), Trivandrum"
rubberboard.gov.in,"Rubber Board, India"
rural.nic.in,Ministry of Rural Development
ruralbazar.nic.in,Rural Bazar
ruraldiksha.nic.in,"Rural Diksha, Ministry of Rural Development"
ruralinnovations.gov.in,"Bank of Ideas and Innovations, Government of India"
rurban.gov.in,National Rurban Mission (NRuM)
rvtijaipur.nic.in,"National Skill Trainers Institute (NSTI) for Women Jaipur, Rajasthan (formerly Regional Vocational Training Institute (RVTI) for Women"
rvtishimla.gov.in,"National Skill Trainers Institute (NSTI) for Women, Shimla, Himachal Pradesh (formerly Regional Vocational Training Institute (RVTI) for Women)"
rvtitura.gov.in,"National Skill Trainers Institute (NSTI) for Women, Dakopgre Tura, West Garo Hills, Meghalaya (formerly Regional Vocational Training Institute (RVTI) for Women) "
rwf.indianrailways.gov.in,"Rail Wheel Factory, Yelahanka, Bangalore"
rwp.indianrailways.gov.in,"Rail Wheel Plant, Bela"
s3waas.gov.in,"S3WaaS - Secure, Scalable and Sugamya Website as a Service for District Websites"
saanjhi.gov.in,Saansad Adarsh Gram Yojana (SAANJHI)
saarc-sdmc.nic.in,"SAARC Disaster Management Centre (SDMC), Interim Unit"
sac.gov.in,Space Applications Centre (SAC)
sactopm.gov.in,Scientific Advisory Council to the Prime Minister
safar.tropmet.res.in,"System of Air Quality forecasting and Research (SAFAR), Pune"
sag-rrs.nic.in,Scheme for Adolescent Girls - Rapid Reporting System
sagarmala.gov.in,Sagarmala - Plan for the comprehensive development of India’s coastline and maritime sector
saha.ac.in,"Saha Institute of Nuclear Physics (SINP), Kolkatta"
sahitya-akademi.gov.in,Sahitya Akademi
sail.co.in,Steel Authority of India Limited (SAIL)
sainiksatara.org,"Sainik School, Satara, Maharashtra"
sainikschoolamaravathinagar.edu.in,"Sainik School, Amaravathi Nagar, Tirupur, Tamilnadu"
sainikschoolbhubaneswar.org,"Sainik School Bhubaneswar, Odisha"
sainikschoolkorukonda.org,"Sainik School Korukonda, Vizianagaram, Andhra Pradesh"
sainikschoolnagrota.com,"Sainik School Nagrota, Jammu and Kashmir"
sainikschoolnalanda.bih.nic.in,"Sainik School Nalanda, Bihar"
sainikschoolpunglwa.nic.in,"Sainik School, Punglwa, Nagaland"
sainikschoolpurulia.com,"Sainik School Purulia, West Bengal"
sainikschoolrewa.ac.in,"Sainik School Rewa, Madhya Pradesh"
sainikschoolsujanpurtira.org,"Sainik School Sujanpur Tira, Himachal Pradesh"
sainikschooltilaiya.org,"Sainik School Tilaiya, Jharkhand"
sainikschooltvm.nic.in,"Sainik School Kazhakootam, Kerala"
sakshat.ac.in,"Sakshat - Education Portal, Government of India"
salarjungmuseum.in,"Salar Jung Museum, Hyderabad, Andhra Pradesh"
samanvay.cpse.in,Samanvay - Knowledge Management Portal for CPSEs
samarth-textiles.gov.in,Samarth (Scheme For Capacity Building In Textile Sector) by Ministry of Textiles
sameer.gov.in,Society for Applied Microwave Electronic Engineering and Research (SAMEER)
sampark.msme.gov.in,Placement Portal for MSME Technology Centres Trainees
sancharika.com,"Sancharika, West Bengal Telecom Circle"
sangeetnatak.gov.in,Sangeet Natak Akademi
sanskrit.nic.in,Rashtriya Sanskrit Sansthan
saralsanchar.gov.in,"Saral Sanchar Portal for various types of Licenses and Registration Certificates, Department of Telecom"
saransh.nic.in,Saransh - a tool for Comprehensive Self Review for CBSE affiliated Schools and Parents
sat.gov.in,"Securities Appellate Tribunal, Mumbai"
satcom.nic.in,"Satellite Communication Group (SATCOM), Delhi"
satmanipur.nic.in,"State Academy of Training (SAT), Manipur"
saubhagya.gov.in,Pradhan Mantri Sahaj Bijli Har Ghar Yojana (Saubhagya)
sb.bsf.gov.in,"South Bengal Frontier, Border Security Force"
sbiri.nic.in,Small Business Innovation Research Initiative
sbkosh.gov.in,Swachh Bharat Kosh (SBK) - to attract Corporate Social Responsibility (CSR) funds for Swachh Bharat
scb.aponline.gov.in,"Cantonment Board, Secunderabad, Andhra Pradesh"
scclmines.com,Singareni Collieries Company Limited (SCCL)
scemcd.gov.in,"EMC Division, SAMEER Center for Electromagnetics"
scfbio-iitd.res.in,"Supercomputing Facility for Bioinformatics & Computational Biology (SCFBIO), IIT Delhi"
scholarships.gov.in,National Scholarships Portal
schoolgis.nic.in,Web Based School GIS application - an initiative of the Department of School Education and Literacy
schoolreportcards.in,"School Report Cards - National University of Educational Planning and Administration  (NUEPA), New Delhi"
sciencecongress.nic.in,"Indian Science Congress Association, Kolkata"
scl.gov.in,Semi-Conductor Laboratory
scootersindia.com,Scooters India Ltd.
scopeonline.in,Standing Conference of Public Enterprises (SCOPE)
scores.gov.in,"Sebi COmplaints and REdress System (SCORES), Securities and Exchange Board of India (SEBI)"
scr.indianrailways.gov.in,South Central Railway
scstsenvis.nic.in,"ENVIS - Centre on EcoTourism,  State Council of Science and Technology for Sikkim"
sctimst.ac.in,Sree Chitra Tirunal Institute for Medical Sciences and Technology (SCTIMST)
sczcc.gov.in,"South Central Zone Cultural Center, Nagpur"
sdis.gov.in,"Skill Development Initiative Scheme (SDIS), Ministry of Skill Development and  Entrepreneurship"
sdtckochi.nic.in,"Software Development and Training Centre (SDTC), National Informatics Centre (NIC), Kochi"
sebi.gov.in,Securities and Exchange Board of India (SEBI)
seci.co.in,"Solar Energy Corporation of India, New Delhi"
secl.gov.in,South Eastern Coalfields Limited (SECL)
secr.indianrailways.gov.in,South East Central Railway
seednet.gov.in,"SeedNet India Portal - National Initiative for Information on Quality Seeds, New Delhi"
seedres.in,"ICAR - Directorate of Seed Research, Maunath Bhanjan, Uttar Pradesh"
seepz.gov.in,"Santa Cruz Special Economic Zone (SEEPZ),  Andheri East, Mumbai"
seismo.gov.in,National Centre for Seismology (NCS)
self4society.mygov.in,Self 4 Society - Main Nahin Hum Portal
ser.indianrailways.gov.in,South Eastern Railway
serb.gov.in,Science and Engineering Research Board (SERB)
servicesepc.org,"Services Export Promotion Council, Gurgaon"
servicetaxchennai.gov.in,"Commissionerate of Service Tax, Chennai"
servicetaxdelhi3.gov.in,"Service Tax Commissionerate, Delhi III"
seshagun.gov.in,School Education Shagun Portal : Samagra Shiksha
settlementcommission-cest.gov.in,"Settlement Commission, Customs, Central Excise and Service Tax"
sevakarahmedabad.nic.in,"Service Tax Division, Ahmedabad"
sezindia.gov.in,Special Economic Zones
sfacindia.com,"Small Farmers Agri - Business Consortium (SFAC), New Delhi"
sfio.nic.in,Serious Fraud Investigation Office (SFIO)
sflmod.nic.in,"School of Foreign Languages (SFL), New Delhi"
sgr.bsf.gov.in,"Srinagar Frontier, Border Security Force (BSF)"
shar.gov.in,Satish Dhawan Space Centre SHAR (SDSC - SHAR)
shebox.nic.in,SHe-Box - Online Complaint Management System  for Sexual Harassment at Workplace
shellacepc.com,"Shellac and Forest Products Export Promotion Council, Kolkata"
shillongcustoms.gov.in,"Commissionerate of Customs (Preventive), North Eastern Region, Shillong"
shipindia.com,Shipping Corporation of India Limited (SCI)
shipmin.gov.in,Ministry of Shipping
shp.gov.in,"Small Hydro Power (SHP) Programme, Ministry of New and Renewable Energy"
shramsuvidha.gov.in,Shram Suvidha - Unified Portal for Labour and Employment
shsrckerala.org,"State Health Systems Resource Centre, Kerala (SHSRCK),Kerala"
sicldr.gov.in,Semiconductor Integrated Circuits Layout Design Registry (SICLDR)
sietpatna.nic.in,"State Institute of Education Technology, Patna"
sih.gov.in,Smart India Hackathon - a unique Open Innovation Model for identifying new and disruptive technology innovations
sihmct.org,"State Institute of Hotel Management & Catering Technology (SIHMCT), Tiruchirappalli, Tamilnadu"
sikkim.nic.in,"Sikkim State Centre, National Informatics Centre (NIC)"
silkmarkindia.com,"Silk Mark Organisation of India, Bangalore"
silks.csb.gov.in,"SILKS - Sericulture Information Linkages and Knowledge System, Central Silk Board"
singareni-tenders.gov.in,eProcurement Portal of Singareni Collieries Company Limited
