Domain_Name,Organization_Name
kvpicket.ap.nic.in,"Kendriya Vidyalaya, Picket, Secunderabad, Andhra Pradesh"
kvpragativihar.edu.in,"Kendriya Vidyalaya, Pragati Vihar, New Delhi"
kvptkochi.gov.in,"Kendriya Vidyalaya Port Trust, Kochi, Kerala"
kvpuri.nic.in,"Kendriya Vidyalaya, Puri, Odisha"
kvraichur.ac.in,"Kendriya Vidyalaya Raichur, Karnataka"
kvraigarh.com,"Kendriya Vidyalaya Raigarh, Chhattisgarh"
kvrajgarh.org.in,"Kendriya Vidyalaya, Rajgarh, Madhya Pradesh"
kvrajkot.org,"Kendriya Vidyalaya Rajkot, Gujarat"
kvramagundam.ap.nic.in,"Kendriya Vidyalaya, Ramagundam, Andhra Pradesh"
kvrameswaram.tn.nic.in,"Kendriya Vidyalaya, Rameswaram, Tamil Nadu"
kvrangapahar.org,"Kendriya Vidyalaya Ranagapahar, Nagaland"
kvraupusa.org,"Kendriya Vidyalaya, Rau, Samastipur, Bihar"
kvrewari.org,"Kendriya Vidyalaya Rewari, Haryana"
kvrihandnagar.org,"Kendriya Vidyalaya Rihandnagae, Uttar Pradesh"
kvrkl.org,"Kendrya Vidyalaya Sector-6, Rourkela, Odisha"
kvrohtak.in,"Kendriya Vidyalaya Rohtak, Haryana"
kvsaharsa.org,"Kenndriya Viyalaya Saharsa, Bihar"
kvsalua.co.in,"Kendriya Vidyalaya, Air Force Station, Salua, West Bengal"
kvsamastipur.org,"Kendriya Vidyalaya, East Central Railway, Samastipur, Bihar"
kvsamba.org,"Kendriya Vidyalaya, Samba, Jammu and Kashmir "
kvsambalpur.org.in,"Kendriya Vidyalaya, Sambalpur, Odisha"
kvsangathan.nic.in,Kendriya Vidyalaya Sangathan (KVS)
kvsappkda.nic.in,"Kendriya Vidyalaya, SAP Camp, Peroorkada,  Kerala"
kvsarni.org,"Kendriya Vidyalaya Sarni, Madhya Pradesh"
kvsatna.com,"Kendriya Vidyalaya, Satna, Madhya Pradesh"
kvsdelhiregion.org,"Kendriya Vidyalaya Sangathan, Delhi Region"
kvsec3rohini.edu.in,"Kendriya Vidyalaya, Sec - 3, Rohini, Delhi"
kvsec5dwarka.org.in,"Kendriya Vidyalaya Sector-5, Dwarka, New delhi"
kvsecljamuna.com,"Kendriya Vidyalaya Jamuna Colliery, Madhya Pradesh"
kvsect22rohini.edu.in,"Kendriya Vidyalaya sector-22, Rohini At D-16, sector-3, Rohini, Delhi"
kvsector8rkpuram.edu.in,"Kendriya Vidyalaya Sector 8 - RK Puram, New Delhi"
kvsehoremp.org,"Kendriya Vidyalaya  Sehore, Madhya Pradesh"
kvseoni.com,"Kendriya Vidyalaya Seoni, Madhya Pradesh"
kvsevokeroad.in,"Kendriya Vidyalaya, Sevoke Road, West Bengal"
kvshahdol.com,"Kendriya Vidayalaya Shahdol, Madhya Pradesh"
kvshahibaug.org,"Kendriya Vidyalaya No.1 Shahibaug, Ahmedabad, Gujarat"
kvshaktinagar.org,"Kendriya Vidyalaya, Shaktinagar, Uttar Pradesh"
kvsheohar.org,"Kendriya Vidyalaya Sheohar, Bihar"
kvshivpuri.org.in,"Kendriya Vidyalaya, Shivpuri, Madhya Pradesh"
kvsikar.org,"Kendriya Vidyalaya Sikar, Rajasthan"
kvsingharsi.org.in,"Kendriya Vidyalaya, Air Force Station, Sinagharsi, Jharkhand"
kvsivaganga.tn.nic.in,"Kendriya Vidyalaya, Sivaganga, Tamilnadu"
kvsjaipur.nic.in,"Kendriya Vidyalaya Sangathan (KVS),  Regional Office, Jaipur"
kvskolkata.org.in,"Kendriya Vidyalaya Sangathan (KVS), Regional Office, Kolkata "
kvsm.org,"Kendriya Vidyalaya, Seoni Malwa, Madhya Pradesh"
kvsonpur.com,"Kendriya Vidyalaya Sonpur, Bihar"
kvspgdwarka.org,Kendriya Vidyalaya SPG Complex Sec-8 Dwarka(Gurgaon Region)
kvspmhoshangabad.nic.in,"Kendriya Vidyalaya, Hoshangabad, Madhya Pradesh"
kvsrikakulam.ap.nic.in,"Kendriya Vidyalaya,  Peddapadu, Srikakulam"
kvsrikona.org,"Kendriya Vidyalaya ONGC, Srikona, Assam"
kvsroagra.org,"Kendriya Vidyalaya Sangathan, Regional Office, Agra"
kvsroahmedabad.org,"Kendriya Vidyalaya Sangathan (KVS), Ahmedabad, Gujurat"
kvsrobangalore.org,"Kendriya Vidyalaya Sangathan (KVS), Bangalore Region"
kvsrobbs.org,"Kendriya Vidyalaya Sangathan, Regional Office, Bhubaneswar"
kvsrobhopal.org.in,"Kendriya Vidyalaya Sangathan Bhopal Region, Madhya Pradesh"
kvsrochandigarh.org,"Kendrya Vidyalaya Sangathan,Regional Office, Chandigarh"
kvsrochennai.tn.nic.in,"Kendriya Vidyalaya Sangathan, Chennai Region, Tamil Nadu"
kvsrodehradun.in,"Kendriya Vidyalaya Sangathan, Regional Office, Dehradun"
kvsrodelhi.org,"Kendriya Vidyalaya Sangathan, Regional Office, Delhi"
kvsroernakulam.nic.in,"Kendriya Vidyalaya Sangathan, Regional Office, Ernakulam"
kvsrogurgaon.in,"Kendriya Vidyalaya Sangathan, Gurgaon Region"
kvsroguwahati.org,"Kendriya Vidyalaya Sangathan, Regional Office, Guwahati "
kvsrohyd.org,"Kendriya Vidyalaya Sangathan, Regional Office, Hyderabad"
kvsrojabalpur.org,"Kendrya Vidyalaya Sangathan,Regional Office, Jabalpur, Madhya Pradesh"
kvsrojammu.org,"Kendriya Vidyalya Sangthan, Jammu"
kvsrolucknow.org.in,"Kendriya Vidyalaya Sangathan, Regional Office, Lucknow"
kvsromumbai.gov.in,"Kendriya Vidyalaya Sangathan, Regional Office, Mumbai, Maharashtra"
