Domain_Name,Organization_Name
kvsropatna.org,"Kendriya Vidyalaya Sangathan, Regional Office, Patna"
kvsroraipur.org,"Kendriya Vidyalaya Sangathan, Regional Office, Raipur"
kvsroranchi.org.in,"Kendriya Vidyalaya Sangathan, Regional Office, Ranchi"
kvsrosilchar.com,"Kendriya Vidyalaya Sangathan (KVS), Regional Office, Silchar "
kvsrotinsukia.org,"Kendriya Vidyalaya Sangathan, Regional Office, Tinsukia"
kvsrovaranasi.edu.in,"Kendriya Vidyalaya Sangathan, Regional Office, Varanasi"
kvsteelplant.ap.nic.in,"Kendriya Vidyalaya, Steel Plant, Visakhapatnam"
kvsulur.tn.nic.in,"Kendriya Vidyalaya Air Force Station, Sulur"
kvsundargarh.org,"Kendriya Vidyalaya Sundargarh, Odisha"
kvsunjuwan.com,"Kendriya Vidyalaya Sunjwan, Jammu and Kashmir"
kvsuratgarhcantt.nic.in,"Kendriya Vidyalaya Suratgarh Cantt, Rajasthan"
kvsurda.org.in,"Kendriya Vidyalaya, Surda, Jharkhand"
kvsuryalanka.ap.nic.in,"Kendriya Vidyalaya, AFS Suryalanka, Bapatla"
kvsvpnpaap.org,"Kendriya Vidyalaya, Shivarampally, Hyderabad"
kvszietchandigarh.org,"Zonal Institute of Education and Training (ZIET), Kendriya Vidyalaya Sangathan (KVS), Chandigarh"
kvszietgwalior.org,"Kendriya Vidyalaya Sangathan Zonal Institute of Education and Training (ZIET), Madhya Pradesh"
kvtatanagar.org.in,"Kendriya Vidyalaya Tatanagar, Jharkhand"
kvtehran.ir,"Kendriya Vidyalaya (Embassy of India School), Tehran, Iran"
kvtfrijbp.com,"Kendriya Vidyalaya Jabalpur TFRI, Madhya Pradesh"
kvthakkolam.tn.nic.in,"Kendriya Vidyalaya, Thakkolam, Vellore, Tamil Nadu"
kvthanjavur.org,"Kendriya Vidyalaya, Thanjavur, Tamil Nadu"
kvthrissur.nic.in,"Kendriya Vidyalaya, Puranattukara, Thrissur"
kvtinsukia.org,"Kendriya Vidyalaya Tinsukia, Assam"
kvtirumalagiri.edu.in,"Kendriya Vidyalaya, Tirumalagiri, Secunderabad"
kvtrichy2.tn.nic.in,"Kendriya Vidyalaya, HAPP, Tiruchirappalli, Tamil Nadu"
kvtrichyone.tn.nic.in,"Kendriya Vidyalaya, No.1, Triuchirapalli, Tamilnadu"
kvtura.org,"Kendriya Vidyalaya, Tura, West Garo Hills, Meghalaya"
kvtvmalai.tn.nic.in,"Kendriya Vidyalaya, Tiruvannamalai"
kvujjain.org.in,"Kendriya Vidyalaya Ujjain, Madhya Pradesh"
kvumaria.com,"Kendriya Vidyalaya Umaria, Madhya Pradesh"
kvunnao.ac.in,"Kendriya Vidyalaya, Dahi Chowki, Unnao, Uttar Pradesh"
kvuri.com,"Kendriya Vidyalaya, Uri"
kvutarlai.org,"Kendriya Vidyalaya Air Force Station, UtarlaiBarmer, Rajasthan"
kvvasantkunj.org.in,"Kendriya Vidyalaya, Vasant Kunj, New Delhi"
kvvayusenanagar.edu.in,"Kendriya Vidyalaya  Vayusena Nagar, Nagpur, Maharashtra"
kvvijayanarayanam.tn.nic.in,"Kendriya Vidyalaya,Vijayanarayanam,Tirunelveli,Tamil Nadu"
kvvirudhunagar.tn.nic.in,"Kendriya Vidyalaya, Virudhunagar, Tamilnadu"
kvwaltair.ap.nic.in,"Kendriya Vidyalaya, Waltair, Andhra Pradesh"
kvwellington.tn.nic.in,"Kendriya Vidyalaya,Wellington,The Nilgiris"
labour.gov.in,Ministry of Labour and Employment
labourbureau.gov.in,"Labour Bureau, Ministry of Labour & Employment, Govt. of India."
labourbureaucpi.gov.in,Labour Bureau Comsumer Price Index
lal-imli.com,"Lal-imli - Legends in the field of worsted and woollen Products, Cawnpore Woollen Mills Branch, Kanpur"
lalitkala.gov.in,"Lalit Kala Akademi, National Academy of Fine Art, New Delhi"
lansdownecb.org.in,"Cantonment Board, Lansdowne, Uttarakhand"
larpm.gov.in,"Laboratory for Advanced Research in Polymeric Materials (LARPM), CIPET"
lawcommissionofindia.nic.in,Law Commission of India
lawmin.nic.in,Ministry of Law and Justice
lbsnaa.gov.in,Lal Bahadur Shastri National Academy of Administration (LBSNAA)
ldo.gov.in,"Land and Development Office, Ministry of Urban Development"
legalaffairs.gov.in,Department of Legal Affairs
legislative.gov.in,Legislative Department
legislativebodiesinindia.gov.in,Legislative Bodies in India
lgdirectory.gov.in,Local Government Directory (LGD)
lhmc-hosp.gov.in,"Lady Hardinge Medical College, New Delhi"
lib.icar.gov.in,Indian Council of Agricultural Research - Online Library Catalog
lichousing.com,LIC Housing Finance Limited
licindia.in,LIC - Life Insurance Corporation of India
lifecarehll.com,HLL Lifecare Limited
liiofindia.org,Legal Information Institute of India (LII of India)
lmis.gov.in,"National Labour Market Information System,  National Skill Development Agency"
lncpe.gov.in,"Lakshmibai National College of Physical Education (LNCPE), Thiruvananthapuram"
lnipe.edu.in,"Lakshmibai National Institute of Physical Education (LNIPE), Gwalior"
lnupe.gov.in,"Lakshmibai National University of Physical Education, Gwalior"
localisation.gov.in,Localisation in e - Governance
localization.gov.in,Localisation in e-Governance by MietY
loksabha.gov.in,Lok Sabha
loksabhahindi.nic.in,Loksabha (Hindi)
loksabhatv.nic.in,Lok Sabha Television (LSTV)
lpsc.gov.in,"Liquid Propulsion Systems Centre, Indian Space Research Organisation (ISRO), Thiruvananthapuram, Kerala"
lrsitbrd.nic.in,Lala Ram Swarup Institute of Tuberculosis and Respiratory Diseases
ltu.gov.in,Large Taxpayer Units
madad.gov.in,"Consular Services Management System, Ministry of External Affairs"
madrasfert.co.in,Madras Fertilizers Limited (MFL)
maef.nic.in,Maulana Azad Education Foundation
mahanhm.gov.in,"National Horticulture Mission,NHM, Maharashtra"
maharashtra.bsnl.co.in,Maharashtra Telecom Circle
maharashtra.nic.in,"Maharashtra State Centre, National Informatics Centre (NIC)"
maharashtrapost.gov.in,"Maharashtra Postal Circle, Department of Posts"
mahilasamakhya.cg.gov.in,"Mahila Samakhya Society, Chhattisgarh"
makaias.gov.in,Maulana Abul Kalam Azad Institute of Asian Studies (MAKAIAS)
makeinindia.com,Make in India - A National Program designed to transform India into a global manufacturing hub
makeinindiadefence.gov.in,"Make in India Defence Production, Ministry of Defence"
manage.gov.in,National Institute of Agricultural Extension Management (MANAGE)
manav.gov.in,MANAV - Human Atlas Initiative by Department of Biotechnology
manit.ac.in,"Maulana Azad National Institute of Technology, Bhopal"
manuu.ac.in,Maulana Azad National Urdu University
mapservice.gov.in,National Portal of Map Services powered by Bharatmaps GIS Platform
math.tifrbng.res.in,"TIFR Centre For Applicable Mathematics, Bangalore"
mazagondock.in,Mazagon Dock Shipbuilders Limited
mca.gov.in,Ministry of Corporate Affairs
mcc.nic.in,Medical Counseling Committee (MCC) - All India Quota Medical / Dental Seats
mciindia.org,Medical Council of India (MCI)
mcl.gov.in,Mahanadi Coalfields Limited (MCL)
mcltenders.gov.in,"eTenders - Mahanadi Coalfields Limited, Sambalpur, Odisha"
mdi.nic.in,"Materials Database of India, Indira Gandhi Centre for Atomic Research (IGCAR), Kalpakkam"
mdm.nic.in,"Mid Day Meal Scheme, Ministry of Human Resource Development"
mdoner.gov.in,Ministry of Development of North Eastern Region
mea.gov.in,Ministry of External Affairs
meafsi.gov.in,"Foreign Service Institute (FSI), Ministry of External Affairs"
mealib.nic.in,"Library, Ministry of External Affairs"
meaprotocol.nic.in,"Protocol Division, Ministry of External Affairs"
meatel.nic.in,"Ministry of External Affairs (MEA), Telephone Directory"
mecl.gov.in,Mineral Exploration Corporation Limited (MECL)
meconlimited.co.in,MECON Limited
medialabasia.in,Media Lab Asia
medind.nic.in,medIND - Indian Medlars Centre
meity.gov.in,Ministry of Electronics and Information Technology
mepz.gov.in,Madras Special Economic Zone (MEPZ)
merical.ac.in,"Marine Engineering & Research Institute (MERI), Kolkata"
mes.gov.in,Military Engineering Service (MES)
metnet.imd.gov.in,"METNET : An e-Governance Intra-IMD Portal, New Delhi"
metrorailnagpur.com,Nagpur Metro Rail Corporation Limited (NMRCL)
mgiri.org,Mahatma Gandhi Institute for Rural Industrialization (MGIRI)
mgisc.gov.in,"Mahatma Gandhi International Sanitation Convention (MGISC): 29 September 29 to 2 October 2018, New Delhi"
mgov.gov.in,Mobile Seva - The National Mobile Governance Initiative
mgsird.org,"Mahatma Gandhi State Institute of Rural Development, Jabalpur, Madhya Pradesh."
mha.gov.in,Ministry of Home Affairs
mhrd.gov.in,Ministry of Human Resource Development
mhrdnats.gov.in,National Apprenticeship Training Scheme (NATS)
mib.gov.in,Ministry of Information and Broadcasting
mic.gov.in,"MHRD’s Innovation Cell (MIC), Ministry of Human Resource Development (MHRD)"
micensus.gov.in,"Minor Irrigation Census, New Delhi"
midh.gov.in,Mission for Integrated Development of Horticulture (MIDH)
midhani.com,Mishra Dhatu Nigam Limited (MIDHANI)
mids.ac.in,Madras Institute of Development Studies (MIDS)
millets.res.in,Indian Institute of Millets Research (IIMR)
mines.gov.in,Ministry of Mines
ministryoftextiles.gov.in,Ministry of Textiles
minorityaffairs.gov.in,Ministry of Minority Affairs
mipuiaw.nic.in,"MIPUI AW - A Centralised  Public Grievances Redressal and Monitoring System, Mizoram"
mkisan.gov.in,mKisan - A Portal of Government of India for Farmer Centric Mobile Based Services
mksp.gov.in,"Mahila Kisan Sashaktikaran Pariyojana (MKSP), NRLM"
mmd.gov.in,"Mercantile Marine Department (MMD), Mumbai"
mmdchennai.in,"Mercantile Marine Department (MMD), Chennai"
mmtclimited.gov.in,Minerals and Metals Trading Corporation Limited (MMTC)
mnit.ac.in,"Malaviya National Institute of Technology, Jaipur (MNIT)"
mnnit.ac.in,"Motilal Nehru National Institute of Technology (MNNIT), Allahabad"
mnre.gov.in,Ministry of New and Renewable Energy
mobileseva.gov.in,"Mobile Seva - The National Mobile Governance Initiative, DeitY, Govt. of India"
mod.nic.in,Ministry of Defence
moef.gov.in,"Ministry of Environment, Forest and Climate Change"
moes.gov.in,Ministry of Earth Sciences
mofapp.nic.in:8080,Economic Survey 2017 - 2018
moflibraries.gov.in,"e-Granthalaya : Online Library Catalog, Ministry of Finance"
mofpi.nic.in,Ministry of Food Processing Industries
mohali.stpi.in,"Software Technology Parks of India (STPI), Mohali, Punjab"
mohfw-epw.gov.in,"Empowered Procurement Wing(EPW),Ministry of Health and Family Welfare (MoHFW)"
mohfw.gov.in,Department of Health and Family Welfare
mohfw.nic.in,Directorate General of Health Services (DGHS)
mohua.gov.in,Ministry of Housing and Urban Affairs
moil.nic.in,Manganese Ore (India) Limited (MOIL)
moprngo.gov.in,NGO Portal by Ministry of Panchayati Raj
morth-owc.nic.in,"Over Dimensional/Over Weight Cargo Movement (ODC/OWC) Online Application, Ministry of Road Transport and Highways"
morth.gov.in,Ministry of Road Transport and Highways
mosdac.gov.in,"Meteorological and Oceanographic Satellite Data Archival Centre (MOSDAC), ISRO"
mospi.nic.in,Ministry of Statistics and Programme Implementation
motive.bsnl.co.in,BSNL Motive - Software Downloads
movehack.gov.in,MOVEHACK - Global Mobility Hackathon by NITI Aayog
mowr.gov.in,Ministry of Jal Shakti
mp.bsnl.co.in,Madhya Pradesh Telecom Circle
mp.nic.in,"Madhya Pradesh State Centre, National Informatics Centre (NIC)"
mpa.gov.in,Ministry of Parliamentary Affairs
mpeda.gov.in,Marine Products Export Development Authority (MPEDA)
mpissr.org,"M.P.Institute of Social Science Research (MPISSR), Bhopal"
mplads.gov.in,Member of Parliament Local Area Development Scheme (MPLADS)
mppost.nic.in,"Madhya Pradesh Postal Circle, Department of Posts "
mptgoa.com,Mormugao Port Trust
mrcindia.org,Malaria Research Centre (MRC)
mrpl.co.in,Mangalore Refinary and Petrochemicals Limited
mrvc.indianrailways.gov.in,Mumbai Railway Vikas Corporation Limited (MRVC)
msbm.gov.in,Mobile App for Swachh Bharat Mission - Gramin (mSBM App) for Citizens
msme-diimphal.nic.in,"MSME-Development Institute, Imphal, Manipur"
msme-tc-nr.gov.in,"MSME-Testing Centre, Okhla, New Delhi"
msme.gov.in,"Ministry of Micro, Small and Medium Enterprises"
msmedi-agartala.nic.in,"MSME - Development Institute, Agartala"
msmedi-chennai.gov.in,"MSME - Development Institute, Chennai"
msmedi-guwahati.gov.in,"MSME - Development Institute, Guwahati, Assam"
msmediagra.gov.in,"MSME - Development Institute, Agra, Uttar Pradesh"
msmediahmedabad.gov.in,"MSME - Development Institute, Ahmedabad, Gujarat"
msmediallahabad.gov.in,"MSME-Development Institute, Allahabad, Uttar Pradesh"
msmedibangalore.gov.in,"MSME - Development Institute, Bangalore, Karnataka"
msmedicuttack.gov.in,"MSME - Development Institute, Cuttack, Odisha"
msmedigoa.gov.in,"MSME - Development Institute, Goa"
msmedihaldwani.gov.in,"MSME - Development Institute, Haldwani, Uttarakhand"
msmedihimachal.nic.in,"MSME - Development Institute, Solan, Himachal Pradesh"
msmedihubli.gov.in,"MSME-Development Institute, Hubli, Karnataka"
msmedijaipur.gov.in,"MSME - Development Institute, Jaipur, Rajasthan"
msmedikanpur.gov.in,"MSME Development Institute Kanpur, Uttar Pradesh"
msmedikarnal.gov.in,"MSME - Development Institute, Karnal, Haryana"
msmedikolkata.gov.in,"MSME - Development Institute, Kolkata, West Bengal"
msmedildh.gov.in,"MSME-Development Institute, Ludhiana, Punjab"
msmedimumbai.gov.in,"MSME Development Institute, Mumbai"
msmedimzfpur.bih.nic.in,"MSME - Development Institute, Muzaffarpur"
msmedinagpur.gov.in,"MSME Development Institute, Nagpur"
msmedipatna.bih.nic.in,"MSME Development Institute, Patna, Bihar"
msmediraipur.gov.in,"MSME - Development Institute, Raipur, Chhattisgarh"
msmedithrissur.gov.in,"MSME-Development Institute, Thrissur, Kerala"
msmehyd.ap.nic.in,"MSME-Development Institute, Hyderabad, Andhra Pradesh"
msmeindore.nic.in,"MSME - Development Institute, Indore, Madhya Pradesh"
msmesupport.gov.in,"Micro Small & Medium Enterprises (MSME), Support and Outreach"
msmetc.com,"MSME - Testing Centre, Chennai"
msmetcmumbai.gov.in,"MSME - Testing Centre, Mumbai"
msmeti.gov.in,"MSME - Training Institute ,Thiruvalla & Ettumanur"
msmetoolroomkolkata.com,"Central Tool Room and Training Center - MSME, Kolkata"
msmetraining.gov.in,"Ministry of Micro, Small and Medium Enterprises - National MSME Trainee Database"
mso.gov.in,"Medical Stores Organisation, Ministry of Health and Family Welfare"
msrvvp.nic.in,"Maharsi Sandipani Rashtriya Veda Vidya Pratishtan, Ujjain, Madhya Pradesh"
mssurvey.nic.in,Survey of Manual Scavengers in Statutory Towns
mstcindia.co.in,"MSTC Limited, New Delhi"
mtechadm.iitm.ac.in,"DoMS, Managment Studies, Indian Institute of Technology Madras"
mtnlmumbai.in,"Mahanagar Telephone Nigam Limited (MTNL), Mumbai"
mtp.indianrailways.gov.in,"Metro Railway, Kolkata"
mudra.org.in,Micro Units Development & Refinance Agency (MUDRA)
mumbai.stpi.in,"Software Technology Parks of India (STPI), Mumbai, Maharashtra"
mumbaicustoms3.gov.in,Chief Commissioner of Customs (Preventive) - Mumbai Zone III
mumbaicustomszone1.gov.in,"Mumbai Customs Zone-1, Dept. of Revenue, Ministry of Finance"
mumbaiport.gov.in,Mumbai Port Trust
mundracustoms.gov.in,"Office of the Principal Commissioner of Customs, Mundra Port, Kachchh, Gujarat"
mwrra.org,Maharashtra Water Resources Regulatory Authority (MWRRA)
my.msme.gov.in,"My MSME - Ease of Doing Business Initiative by Ministry of Micro, Small & Medium Enterprises (MSME)"
mygov.in,MyGov: A Platform for Citizen Engagement towards Good Governance in India
mylpg.in,My LPG.in - Join PAHAL (DBTL) and avail regular LPG Services Online
mysmartfleet.com,SmartFleet - Bharat Petroleum Corporation Limited (BPCL)
myutiitsl.com,Online Application for allotment of Permanent Account Number (PAN Card)
myvisit.gov.in,MyVisit : Visitor Management Simplified for Government and Citizens
naa.gov.in,National Anti-profiteering Authority (NAA)
naaa.gov.in,"National Academy of Audit and Accounts, Shimla, HP, India"
naac.gov.in,National Assessment and Accrediation Council
naarm.ernet.in,National Academy of Agricultural Research Management (NAARM)
nabet.qci.org.in,National Accreditation Board for Education and Training  (NABET)
nabi.res.in,"National Agri-Food Biotechnology Institute (NABI), Mohali, Punjab"
nabl-india.org,National Accreditation Board for Testing and Calibration Laboratories (NABL)
nabm.in,"National Academy of Broadcasting and Multimedia, Delhi"
nacen.gov.in,National Academy of Customs Excise and Narcotics
nacenkanpur.gov.in,"National Academy of Customs Excise and Narcotics, Regional Training Institute, Kanpur"
nacenmumbai.gov.in,"National Academy of Customs Excise and Narcotics (NACEN), Mumbai"
naco.gov.in,"National AIDS Control Organisation (NACO), Department of AIDS Control"
nacwc.gov.in,National Authority for Chemical Weapons Convention (NACWC)
nada.nic.in,National Anti-Doping Agency (NADA)
nadfm.nic.in,"National Academy of Defence Financial Management (NADFM), Pune, Maharashtra"
nadpindia.gov.in,"National Academy of Defence Production (NADP), Nagpur"
nadt.gov.in,"National Academy of Direct Taxes, Nagpur"
naeb.nic.in,National Afforestation and Eco-Development Board
nagpurrailwaypolice.gov.in,Nagpur Railway Police
naip.icar.gov.in,National Agricultural Innovation Project
nair.indianrailways.gov.in,"National Academy of Indian Railways, Vadodara, Gujarat"
nairecordsholdings.nic.in,Reference Media of Public Records available - National Archives of India
naiudaan-moma.gov.in,"Nai Udaan - Scheme for financial support to the minority candidates clearing prelims conducted by UPSC, SSC and State PSC"
nal.res.in,National Aerospace laboratories (NAL)
nalandauniv.edu.in,Nalanda University
nalcoindia.com,National Aluminium Company Limited (NALCO)
nalsa.gov.in,National Legal Services Authority (NALSA)
namami.gov.in,National Mission for Manuscripts
nanomission.gov.in,Nano Mission
narakaskarnal.gov.in,"Nagar Rajbhasha Karyanavayan Samiti, Karnal"
narcoticsindia.nic.in,Narcotics Control Bureau (NCB)
naredco.in,National Real Estate Development Council
nari-icmr.res.in,"National AIDS Research Institute (NARI), Pune"
narl.gov.in,National Atmospheric Research Laboratory (NARL)
nasi.nic.in,National Academy of Sciences
natboard.edu.in,National Board of Examinations
natfm.bsnl.co.in,National Academy of Telecom Finance and Management (NATFM)
nationalarchives.gov.in,National Archives of India (NAI)
nationalbalbhavan.nic.in,National Bal Bhavan
nationalcraftsmuseum.nic.in,National Handicrafts and Handlooms Museum (Crafts Museum)
nationalfertilizers.com,National Fertilizers Limited (NFL)
nationalinsuranceindia.nic.co.in,National Insurance Company Limited (NICL)
nationallibrary.gov.in,National Library
nationalmuseumindia.gov.in,"National Museum, New Delhi"
nationalwarmemorial.gov.in,National War Memorial of India
natmo.gov.in,National Atlas and Thematic Mapping Organisation (NATMO)
natrip.in,National Automotive Testing and R&D Infrastructure Project (NATRIP)
natrss.gov.in,National Academy for Training and Research in Social Security (NATRSS)
nausena-bharti.gov.in,Indian Navy - Careers and Opportunities
navodaya.gov.in,Navodaya Vidyalaya Samiti (NVS)
navodayahyd.gov.in,"Navodaya Vidyalaya Samiti, Secunderabad, Andhra Pradesh"
navodayalakshadweep.nic.in,"Jawahar Navodaya Vidyalaya, Minicoy, Lakshadweep"
navydayopenseaswimming.gov.in,"Open Sea Swimming Competition 2010, Navy Day Celebrations, Mumbai"
nb.bsf.gov.in,"North Bengal Frontier, Border Security Force"
nbagr.res.in,"National Bureau of Animal Genetic Resources (NBAGR), Karnal, Haryana"
nbaim.org.in,"National Bureau of Agriculturally Important Microorganisms (NBAIM), Bhanjan, Uttar Pradesh"
nbaindia.org,National Biodiversity Authority (NBA)
nbair.res.in,"ICAR - National Bureau of Agricultural Insect Resources (NBAIR), Bangalore"
nbb.gov.in,National Bee Board (NBB)
nbccindia.gov.in,National Buildings Construction Corporation Limited (NBCC)
nbcfdc.gov.in,National Backward Classes Finance and Development Corporation (NBCFDC)
nbfgr.res.in,"National Bureau of Fish Genetic Resources (NBFGR), Lucknow, Uttar Pradesh"
nbhm.dae.gov.in,"National Board for Higher Mathematics (NBHM), Mumbai"
nbm.nic.in,National Bamboo Mission
nbo.nic.in,National Building Organisation (NBO)
nbpgr.ernet.in,National Bureau of Plant Genetic Resources (NBPGR)
nbqp.qci.org.in,National Board for Quality Promotion (NBQP)
nbrc.ac.in,National Brain Research Centre (NBRC)
nbri.res.in,National Botanical Research Institute (NBRI)
nbrienvis.nic.in,"Environmental Information System (ENVIS) - National Botanical Research Institute,Lucknow"
nbtindia.gov.in,"National Book Trust (NBT), India"
nca.gov.in,Narmada Control Authority (NCA)
ncaer.org,"National Council of Applied Economic Research (NCAER), New Delhi"
ncaor.gov.in,National Centre for Antarctic and Ocean Research (NCAOR)
ncap.res.in,National Centre for Agricultural Economics and Policy Research (NCAP)
ncbc.nic.in,National Commission for Backward Classes(NCBC)
ncbindia.com,National Council for Cement and Building Materials (NCCBM)
ncbs.res.in,National Centre for Biological Sciences (NCBS)
nccd.gov.in,National Centre for Cold-chain Development (NCCD)
nccindia.nic.in,National Cadet Corps (NCC)
nccptrai.gov.in,BSNL - Do not call Registration / Deregistration
nccr.iitm.ac.in,"National Center for Catalysis Research (NCCR), Indian Institute of Technology, Madras"
nccs.res.in,National Centre for Cell Sciences (NCCS)
ncct.ac.in,National Council for Co-operative Training (NCCT)
ncdc.gov.in,"National Centre for Disease Control (NCDC), New Delhi"
ncdc.in,National Co-operative Development Corporation (NCDC)
ncdcnagpur.nic.in,"National Civil Defence College, Nagpur"
ncdmaindia.gov.in,National CDM (Clean Development Mechanism) Authority (NCDMA)
ncdnt.gov.in,"National Commission for Denotified, Nomadic and Semi-Nomadic Tribes (NCDNSNT)"
ncdrc.nic.in,National Consumer Disputes Redressal Commission (NCDRC)
ncds.nic.in,"Nabakrushna Choudhury Centre for Development Studies (NCDS), Bhubaneswar, Odisha"
nceg.gov.in,National  Conference on e-Governance
ncert.nic.in,National Council of Educational Research and Training (NCERT)
ncess.gov.in,National Centre for Earth Science Studies (NCESS)
ncf.nic.in,National Culture Fund (NCF)
ncfc.gov.in,"Mahalanobis National Crop Forecast Centre (NCFC), New Delhi"
nchfindia.net,National Cooperative Housing Federation of India (NCHFI)
