Domain_Name,Organization_Name
companyliquidator.gov.in,"Company Liquidators,Ministry Of Corporate Affairs"
compat.nic.in,Competition Appellate Tribunal
concorindia.com,Container Corporation of India Limited (CONCOR)
consumeraffairs.nic.in,Department of Consumer Affairs
consumerhelpline.gov.in,INGRAM Portal - National Consumer Helpline
copyright.gov.in,"Copyright Office, India"
core.indianrailways.gov.in,Central Organisation for Railway Electrification (CORE)
core.nic.in,Consumer Online Resource and Empowerment Centre (CORE)
cotcorp.org.in,Cotton Corporation of India Limited (CCI)
cottageemporium.in,Central Cottage Industries Corporation of India Limited
cp.indianmuseumkolkata.org,"Indian Museum, Kolkata"
cpao.gov.in,Central Pension Accounting Office (CPAO)
cpcb.nic.in,Central Pollution Control Board (CPCB)
cpcbbrms.nic.in,"Batteries(Importers) Registration and Management SyCentral Pollution Control Board (CPCB), Delhi"
cpcbenvis.nic.in,ENVIS Centre on Control of Pollution - Central Pollution Control Board (CPCB)
cpcl.co.in,Chennai Petroleum Corporation Limited (CPCL)
cpcletenders.nic.in,eProcurement Portal of  Chennai Petroleum Corporation Limited (CPCL)
cpcri.gov.in,Central Plantation Crops Research Institute (CPCRI)
cpdobbser.in,"Central Poultry Development Organization (CPDO), Eastern Region"
cpdonrchd.gov.in,Central Poultry Development Organisation (Northern Region) Chandigarh
cpdosrbng.kar.nic.in,"Central Poultry Development Organization, Southern Region, Hessarghatta, Bangalore"
cpheeo.nic.in,Central Public Health and Environmental Engineering Organisation (CPHEEO)
cppri.org.in,"Central Pulp and Paper Research Institute (CPPRI), Saharanpur"
cpreecenvis.nic.in,"ENVIS Centre on Conservation of Ecological Heritage and Sacred Sites of India, Chennai"
cpri.icar.gov.in,"ICAR - Central Potato Research Institute, Shimla"
cpri.in,"Central Power Research Institute  (CPRI), Bangalore, Karnataka"
cpsms.nic.in,"Central Plan Scheme Monitoring System (CPSMS), New Delhi"
cpwd.gov.in,Central Public Works Department (CPWD)
cpwdcontractor.nic.in,Contractor Online Registration Monitoring Sysytem - Central Public Works Department (CPWD)
cpwdnez.gov.in,"CPWD, North Eastern Zone"
cpwdpms.gov.in,Web Based Project Monitoring System -  Central Public Works Department (CPWD)
cpwdsewa.gov.in,CPWD Sewa - Central Public Works Department (CPWD)
